"Erika Alexander—Philadelphia
"Shawntae Spencer, professional football player—Rankin
"Eddie Stanky, professional baseball player and manager—Philadelphia
"Larod Stephens-Howling, professional football player—Johnstown
"Mark Stepnoski, professional football player—Erie
"Tony Stewart, professional football player—Allentown
"Devin Street, professional football player—Bethlehem
"Big John Studd, professional wrestler—Butler
"Joe Stydahar, professional football player and coach—Kaylor
"Matt Suhey, professional football player—Bellefonte
"Bob Sura, professional basketball player—Wilkes-Barre
"Bruce Sutter, HOF professional baseball player—Lancaster
"Chuck Tanner, professional baseball player and manager—New Castle
"Jason Taylor, professional football player—Pittsburgh
"Walter Tewksbury, Olympian track and field athlete—Ashley
"Jaimie Thomas, professional football player—Harrisburg
"Myles Thomas, professional baseball player—State College
"Carol Semple Thompson, amateur golfer—Sewickley
"Jim Thorpe, various—Carlisle, only connected posthumously to Jim Thorpe
"Jim Tomsula, professional football coach—Homestead
"Wallace Triplett, professional football player—Cheltenham Township
"Charley Trippi, HOF professional football player—Pittston
"Bob Tucker, professional football player—Hazleton
"Emlen Tunnell, HOF professional football player—Bryn Mawr
"R.J. Umberger, professional hockey player—Pittsburgh
"Johnny Unitas, HOF professional football player—Pittsburgh
"Mickey Vernon, professional baseball player—Marcus Hook
"Iosif Vitebskiy (born 1938), Soviet Ukrainian Olympic medalist and world champion épée fencer and fencing coach—Philadelphia
"Honus Wagner, HOF professional baseball player—Chartiers Township
"Dion Waiters, professional basketball player—Philadelphia
"Christian Walker, professional baseball player—Norristown
"Neil Walker, professional baseball player—Pittsburgh
"Art Wall Jr., professional golfer—Honesdale
"Rasheed Wallace, professional basketball player—Philadelphia
"Ed Walsh, HOF professional baseball player—Plains Township
"Joe Walton, professional football coach—Beaver Falls
"Hakim Warrick, professional basketball player—Philadelphia
"Earl Watford, professional football player—Philadelphia
"Kenny Watson, professional football player—Harrisburg
"Ricky Watters, professional football player—Harrisburg
"Reggie Wells, professional football player—South Park
"Johnny Weir, professional and Olympic figure skater—Coatesville
"Randy White, HOF professional football player—Pittsburgh
"Brian Williams, professional football player—Mt. Lebanon
"Lauryn Williams, Summer and Winter Olympic medalist—Rochester
"Josh Wilson, professional baseball player—Mt. Lebanon
"Kris Wilson, professional football player—Harrisburg
"Coy Wire, professional football player—Camp Hill Cedar Cliff
"Stefen Wisniewski, professional football player—Pittsburgh
"Lee Woodall, professional football player—Carlisle
"Tom Woodeshick, professional football player—Wilkes-Barre
"John Woodruff, Olympic gold medalist in track and field—Connellsville
"Blidi Wreh-Wilson, professional football player—Edinboro
"Frank Wycheck, professional football player—Philadelphia
"Jack Zduriencik, professional baseball executive—New Castle
"Edward Abbey—Indiana
"Louisa May Alcott—Germantown
"Lloyd Alexander—Philadelphia
"George Anastasia—Philadelphia
"Poul Anderson—Bristol
"Janet Asimov—Ashland
"Samuel Barber—West Chester, Pennsylvania
"Donald Barthelme—Philadelphia
"Ellen Bass—Philadelphia
"John Batchelor—Bryn Mawr / Lower Merion Township
"Stan and Jan Berenstain—Philadelphia
"Ben Bova—Philadelphia
"Pearl S. Buck—Perkasie
"Charles Brockden Brown—Philadelphia
"Bebe Moore Campbell—Philadelphia
"Rachel Carson—Springdale
"Stephen Chbosky—Pittsburgh
"Marc Connelly—McKeesport
"Margaret Deland—Allegheny
"Annie Dillard—Pittsburgh
"Tristan Egolf—Lancaster
"Robert Fagles—Philadelphia
"Stephen Flaherty—Pittsburgh
"Harvey Flink—Centre Hall
"Tom Flynn—Erie
"Nancy Friday—Pittsburgh
"David Fulmer—Northumberland
"Todd Gallagher—Greensburg
"Walter B. Gibson—Philadelphia
"Jim Goad—Ridley Park
"H.D. (Hilda Doolittle)—Bethlehem
"Oscar Hammerstein II—Doylestown
"Kristin Hunter—Philadelphia
"Robert T. Jeschonek—Johnstown
"Kait Kerrigan—Kingston
"Dean Koontz—Everett
"David Leavitt—Pittsburgh
"Brian Lowdermilk—Wallingford
"John D. MacDonald—Sharon
"David McCullough—Pittsburgh
"Henry Meyer—Centre County
"James A. Michener—Doylestown
"Jason Miller—Scranton
"James Morrow—Philadelphia
"Lance Morrow—Philadelphia
"John O'Hara—Pottsville
"Ralph Peters—Pottsville / Schuylkill Haven
"Robert W. Peterson—Warren
"Darryl Ponicsan—Shenandoah
"Ezra Pound—Wyncote
"Conrad Richter—Pine Grove
"Mary Rinehart—Pittsburgh
"Lisa Scottoline—Philadelphia
"Sara Shepard—Downingtown
"Martin Cruz Smith—Reading
"Stephen Sondheim—Doylestown
"Jerry Spinelli—Norristown
"Jerry Stahl—Pittsburgh
"Gertrude Stein—Allegheny
"Gerald Stern—Pittsburgh
"Wallace Stevens—Reading
"Ida Tarbell—Titusville
"John Updike—Reading
"Judith Vollmer—Pittsburgh
"Lauren Weisberger—Allentown
"John Edgar Wideman—Pittsburgh
"Marianne Wiggins—Lancaster
"August Wilson—Pittsburgh
"Owen Wister—Philadelphia
"Jeffrey Zaslow—Broomall
"Calvin Ziegler—Rebersburg
"Scott Aaronson—Philadelphia
"John Backus—Philadelphia
"David A. Bader—Bethlehem
"Brendan Eich—Pittsburgh
"Martin Charles Golumbic—Erie
"Emil Grosswald—Narberth
"Chad Hurley—Birdsboro
"Alan Kotok—Philadelphia
"Michael L. Littman—Philadelphia
"Alan Perlis—Pittsburgh
"Hilary Putnam—Philadelphia
"Jeffrey Shallit—Philadelphia
"George Stibitz—York
"E. Roy Weintraub—Philadelphia
"Rachel Carson—Springdale
"Paul R. Ehrlich—Germantown
"Major Israel McCreight—Du Bois
"Inky Moore—Newville
"Joseph Rothrock—McVeytown
"Mumia Abu-Jamal—Philadelphia
"George Banks—Wilkes-Barre
"Richard Baumhammers—Pittsburgh
"Angelo Bruno—Philadelphia
"Andrew Thomas DelGiorno—Philadelphia
"Mickey Duffy—Philadelphia
"Ira Einhorn—Philadelphia
"Caleb Fairley—Gulph Mills
"George Feigley—Harrisburg
"Eric Frein—Canadensis
"Kermit Gosnell—Philadelphia
"Gary M. Heidnik—Philadelphia
"Maxie "Boo Boo" Hoff—Philadelphia
"Eddie James—Bristol
"Joseph Kallinger—Philadelphia
"Timothy Krajcir—West Mahanoy
"Alec Devon Kreider—Lancaster County
"Ignatius Lanzetta—Philadelphia
"Leo Lanzetta—Philadelphia
"Joey Merlino—Philadelphia
"Charles Carl Roberts—Lancaster
"Jerry Sandusky—Washington
"Sundance Kid—Mont Clare
"Philip Testa—Philadelphia
"Salvatore Testa—Philadelphia
"Robert Balling, professor of geography, Arizona State University—Uniontown
"Derek Bok, 25th President of Harvard University—Bryn Mawr
"Harold W. Dodds, fifteenth President of Princeton University—Utica
"Thomas Messinger Drown, fourth President of Lehigh University—Philadelphia
"C. Clement French, sixth president of Washington State University—Philadelphia
"Thomas F. George, chancellor and professor of chemistry and physics, University of Missouri–St. Louis—Philadelphia
"Leonard Hayflick, Professor of Anatomy, University of California, San Francisco—Philadelphia
"Susan Henking—Paoli, president of Shimer College&#91;3&#93;
"John W. Heston, second president of Washington State; third president of South Dakota State; fourth president of Dakota State—Bellefonte
"John Heuser, Professor of Biophysics, Washington University School of Medicine—Pittsburgh
"Andrew Knoll, Fisher Professor of Natural History and Professor of Earth and Planetary Sciences, Harvard University—West Reading
"Philip Morrison, Institute Professor Emeritus and Professor of Physics Emeritus, Massachusetts Institute of Technology—Pittsburgh
"Louis B. Schwartz (1913-2003), law professor at the University of Pennsylvania Law School-Philadelphia
"David Soll, biology professor, University of Iowa—Philadelphia
"Bernard Wolfman (1924–2011), Dean of the University of Pennsylvania Law School and law professor-Philadelphia
"John Yoo, Professor of Law at the University of California, Berkeley—Philadelphia
"James Henry Carpenter—Reading, Berks County
"Edgar Cortright—Hastings
"William C. Davis, Jr.—Shinglehouse
"Henry Deringer—Johnstown 
"Nance Dicciani—Philadelphia
"J. Presper Eckert—Philadelphia
"Jesse Fell—Wilkes-Barre
"Matthias Forney—Hanover
"Benjamin Franklin—Philadelphia
"Daniel French—Brownsville and Philadelphia
"Robert Fulton—Little Britain
"Frank Hastings Griffin—Chester
"Mary Hallock-Greenewalt—Philadelphia
"George H. Heilmeier—Philadelphia
"John Kanzius—Washington
"Samuel Kier—Conemaugh Township
"Thomas Midgley Jr.—Beaver Falls
"William C. Pfefferle—Philadelphia
"Alan Pritsker—Philadelphia
"Henry Miller Shreve—Brownsville
"Jacob Snider—Philadelphia
"Frederick Winslow Taylor—Philadelphia
"William Hultz Walker—Pittsburgh
"Nathaniel Wyeth—Chadds Ford
"John Aglialoro—Philadelphia
"Peter Angelos—Pittsburgh
"James Ford Bell—Philadelphia
"Manoj Bhargava—Philadelphia
"Steve Bisciotti—Philadelphia
"Mary Boone—Erie
"Amar Bose—Philadelphia
"Norman Braman—West Chester / Philadelphia
"Washington Atlee Burpee—Philadelphia
"Andrew Carnegie—Allegheny
"Joan Carter—Pittsburgh
"Kayla Collins—Reading
"Henry Pomeroy Davison—Troy
"Mark Donovan—Pittsburgh
"David Edgerton—Lebanon
"Mahlon Haines–York
"Milton S. Hershey—Derry Church (Hershey)
"Alfred Hunt—Bethlehem, Brownsville and Philadelphia
"Lee Iacocca—Allentown
"Bennett S. LeBow—Philadelphia
"Larry Lucchino—Pittsburgh
"David Montgomery—Philadelphia
"Robert Nardelli—Old Forge
"Amedeo Obici—Wilkes-Barre
"Asa Packer—Jim Thorpe (originally called Mauch Chunk)
"H.B. Reese—Derry Church (Hershey)
"Frank Resnik—Unity Township
"Brian Roberts—Philadelphia
"Art Rooney—Coulterville
"Art Rooney II—Pittsburgh
"Richard Mellon Scaife—Pittsburgh
"Charles M. Schwab—Williamsburg / Loretto
"James Sinegal—Pittsburgh
"Jeffrey Skilling—Pittsburgh
"Jim Stamatis—Lehigh Valley
"John Surma—Pittsburgh
"David Tepper—Pittsburgh
"Thomas Usher—Reading
"Jerry Wolman—Shenandoah
"Joseph Wharton—Philadelphia
"Isaiah Vansant Williamson—Bensalem Township
"M. K. Asante—Philadelphia
"Joe Augustyn—Philadelphia
"Donald P. Bellisario—Cokeburg
"Shane Black—Pittsburgh
"Richard Brooks—Philadelphia
"Chris Columbus—Spangler
"Rusty Cundieff—Pittsburgh
"Lee Daniels—Philadelphia
"Brian De Palma—Philadelphia
"Caleb Deschanel—Philadelphia
"David M. Evans—Wilkes-Barre
"Peter Farrelly—Phoenixville
"Jonathan Frakes—Bellefonte
"Antoine Fuqua—Pittsburgh
"Todd Gallagher—Greensburg
"Marshall Herskovitz—Philadelphia
"Tigre Hill—Philadelphia
"Tamar Simon Hoffs—Johnstown
"Todd Holland—Kittanning / Meadville
"David Hollander—Pittsburgh
"Kevin Hooks—Philadelphia
"David Howard—Philadelphia
"Tamara Jenkins—Philadelphia
"Clark Johnson—Philadelphia
"Deborah Kaplan—Abington
"Irvin Kershner—Philadelphia
"Randal Kleiser—Philadelphia
"Harold F. Kress—Pittsburgh
"Charles Leavitt—Pittsburgh
"Richard Lester—Philadelphia
"Herschell Gordon Lewis—Pittsburgh
"Steven Lisberger—Philadelphia
"Sidney Lumet—Philadelphia
"Abby Mann—Philadelphia / East Pittsburgh
"Kathleen Marshall—Pittsburgh
"Elaine May—Philadelphia
"Melanie Mayron—Philadelphia
"Adam McKay—Malvern
"Jason Miller—Scranton
"David Mirkin—Philadelphia
"Clifford Odets—Philadelphia
"Eric Red—Pittsburgh
"Richard Rossi—Pittsburgh
"Alvin Sargent—Philadelphia
"Tom Savini—Pittsburgh
"Edwin Sherin—Harrisburg
"M. Night Shyamalan—Philadelphia
"Jerry Stahl—Pittsburgh
"Joseph Strick—Braddock
"Andrew Kevin Walker—Altoona / Mechanicsburg
"Paul Wendkos—Philadelphia
"Sam Wood—Philadelphia
"Bud Yorkin—Washington
"Neal Dodson—York
"Christina Aguilera—Pittsburgh
"Josh Balz Ex Keyboardist Motionless in White
"Marian Anderson—Philadelphia
"Mark Andes—Philadelphia
"Frankie Avalon—Philadelphia
"Samuel Barber—West Chester
"Franny Beecher—Norristown
"George Benson—Pittsburgh
"Les Brown—Lykens
"Benjamin Burnley—Wilkes Barre
"Bilal—Philadelphia
"Joe Bonsall—Philadelphia
"Glenn Branca—Harrisburg
"Solomon Burke—Philadelphia
"Vanessa Carlton—Milford
"Sabrina Carpenter—Lehigh Valley
"Cassidy—Philadelphia
"Danny Cedrone—Philadelphia
"Chubby Checker—Philadelphia
"Lou Christie—Moon Township
"Todd Tamanend Clark—Greensboro
"Stanley Clarke—Philadelphia
"John Coltrane—Philadelphia
"Perry Como—Canonsburg
"Joey Covington—Johnstown
"Crobot (Rock Band)—Pottsville
"Jim Croce—Drexel Hill
"Patrick Dahlheimer—York
"Bobby Dall—Mechanicsburg
"Lacy J. Dalton—Bloomsburg
"Daya—Pittsburgh
"Jimmy Dorsey—Shenandoah
"Tommy Dorsey—Shenandoah
"Jimmy DeGrasso—Bethlehem
"Esteban—Pittsburgh
"Kevin Eubanks—Philadelphia
"Jackie Evancho—Pittsburgh
"Eve—Philadelphia
"Renée Fleming—Indiana
"Stephen Foster—Pittsburgh
"James Moyer Franks—Trappe
"Freeway—Philadelphia
"James Allen Gähres—Harrisburg
"Stan Getz—Philadelphia
"Adam "DJ AM" Goldstein—Philadelphia
"Chad Gracey—York
"Johnny Grande—Philadelphia
"Anthony Green—Doylestown
"Justin Guarini—Doylestown
"Hair Rocket—Philadelphia indie rock band
"Lzzy Hale—Red Lion
"Daryl Hall—Pottstown
"Mary Hallock-Greenewalt—Philadelphia
"Dan Hartman—Harrisburg
"Phyllis Hyman—Pittsburgh
"Donnie Iris—Ellwood City
"Keith Jarrett—Allentown
"DJ Jazzy Jeff—Philadelphia
"Joan Jett—Philadelphia
"Allan Jones—Old Forge
"Wiz Khalifa—Pittsburgh
"Jason Karaban—Norristown
"Tom Keifer—Springfield
"Chris Kirkpatrick ('N Sync)—Clarion
"Richie Kotzen—Reading
"Ed Kowalczyk—York
"Kurupt—Philadelphia
"Jeff LaBar—Darby
"Patti LaBelle—Philadelphia
"Mario Lanza—Philadelphia
"Lil Peep (Gustav Elijah Åhr)
"Lil Skies—Waynesboro
"Lil Uzi Vert—Philadelphia
"Lisa Lopes—Philadelphia
"Kellee Maize—Pittsburgh
"Henry Mancini—Aliquippa
"Fred Mascherino—Philadelphia, Coatesville
"Al Martino—Philadelphia
"Pat Martino—Philadelphia
"Billy May—Pittsburgh
"Dan McKeown—Philadelphia
"Meek Mill—Philadelphia
"Mac Miller—Pittsburgh
"Garnet Mimms—Philadelphia
"Bret Michaels—Butler
"Mirah—Philadelphia
"Irene Molloy—Doylestown
"Patrick Monahan—Erie
"Chris Motionless—Scranton
"Musiq Soulchild—Philadelphia
"Jaco Pastorius—Norristown
"Billy Paul—Philadelphia
"Teddy Pendergrass—Philadelphia
"Christina Perri—Bensalem
"Pink—Doylestown
"Jack Pleis—Philadelphia
"Questlove—Philadelphia
"Sun Ra—Philadelphia
"Trent Reznor—Mercer
"Rikki Rockett—Mechanicsburg
"Asher Roth—Morrisville
"Todd Rundgren—Upper Darby
"Bobby Rydell—Philadelphia
"Ira D. Sankey—New Castle
"Santogold—Philadelphia
"Schooly D—Philadelphia
"Jill Scott—Philadelphia
"Shanice—Pittsburgh
"Beanie Sigel—Philadelphia
"Langhorne Slim (Sean Scolnick (Langhorne Slim)—Langhorne
"Will Smith—Philadelphia
"Leopold Stokowski—Philadelphia
"Taylor Swift—Reading
"Tammi Terrell—Philadelphia
"McCoy Tyner—Philadelphia
"Bobby Vinton—Canonsburg
"Chris Vrenna—Erie
"John Walker—Johnstown
"Syreeta Wright—Pittsburgh
"Edward Acheson—Washington
"Anurag Agrawal—Allentown
"Christian Anfinsen—Monessen
"Alexander Dallas Bache—Philadelphia
"Albert Barnes—Philadelphia
"Michael Behe—Altoona
"Elmer Bolton—Frankford
"James Bond—Philadelphia
"James Booth—Philadelphia
"Herbert Boyer—Derry
"Robert Breed—Brooklyn Township
"Michael Stuart Brown—Wyncote
"Sean M. Carroll—Philadelphia
"Rachel Carson—Springdale
"Daniel Chamovitz—Aliquippa
"Britton Chance—Wilkes-Barre
"Ralph Cicerone—New Castle
"Edward Cope—Philadelphia
"James F. Crow—Phoenixville
"George Delahunty—Upper Darby
"John Dorrance—Bristol
"Alice Evans—Neath
"John Frazer—Philadelphia
"Frederick Genth—Philadelphia
"Frederick Grinnell—Philadelphia
"Robert Hare—Philadelphia
"William Harkins—Titusville
"Philip Hench—Pittsburgh
"Berwind Kaufmann—Philadelphia
"Charles Keeling—Scranton
"John Kopchick—Punxsutawney
"Stephanie Kwolek—New Kensington
"Edward Lewis—Wilkes-Barre
"Stephen Lippard—Pittsburgh
"William Madia—Wilkinsburg
"Daniel Mazia—Scranton
"Samuel George Morton—Philadelphia
"Jack Myers—Damascus Township
"Charles Overberger—Barnesboro
"Mary Pennington—Philadelphia
"George Prendergast—Philadelphia
"John Quackenbush—Kingston
"David L. Reich—Philadelphia
"Theodore Richards—Germantown
"Charles Rick—Reading
"Anita Roberts—Pittsburgh
"James Rogers—Philadelphia
"William Rogers—Philadelphia
"Henry Augustus Rowland—Honesdale
"Beth Shapiro—Allentown
"Alex Shigo—Duquesne
"Lester Shubin—Philadelphia
"Neil Shubin—Philadelphia
"Daniel Simberloff—Wilson
"Edgar Smith—York
"Howard Temin—Philadelphia
"Claude Villee, Jr.—Lancaster
"William Walker—Pittsburgh
"Michael Welner—Pittsburgh
"Caspar Wistar—Philadelphia
"Rake Yohn—West Chester
"Roger Young—Burgettstown
"Jack Agnew, inspiration for novel and film The Dirty Dozen—Philadelphia
"Claude Allen, assistant to the President for domestic policy under George W. Bush—Philadelphia
"Henry "Hap" Arnold, U.S. Army and U.S. Air Force General—Gladwyne
"John C. Bell Jr., 33rd Governor of Pennsylvania—Philadelphia
"Joe Biden, 47th Vice President of the United States and longtime U.S. Senator from Delaware (1973–2009)—Scranton
"Robert Bork, Solicitor General, Attorney General, Judge of the D.C. Circuit Court of Appeals, Supreme Court nominee—Pittsburgh
"John Boyd, USAF fighter pilot and Pentagon consultant, developer of the OODA loop—Erie
"Martin Grove Brumbaugh, 26th Governor of Pennsylvania—Huntingdon County
"James Buchanan, 15th President of the United States—Cove Gap
"Smedley Butler, U.S. Marine Corps General—West Chester
"Frank Carlucci, U.S. Secretary of Defense under Ronald Reagan—Scranton
"Samuel Carpenter, first Treasurer 1704, Deputy Governor to William Penn—Philadelphia
"Ashton Carter, U.S. Secretary of Defense under Barack Obama—Philadelphia
"Bob Casey Jr., US Senator, son of former Governor—Scranton
"Robert P. Casey, 42nd Governor of Pennsylvania—Scranton
"Benjamin Chew, Chief Justice of Supreme Court of Pennsylvania, state Attorney General—Philadelphia
"Joseph Clancy, Director of Secret Service under Barack Obama—Philadelphia
"Mark B. Cohen, Democratic chairman, Human Services Committee, Pennsylvania House of Representatives
"William Coleman, U.S. Secretary of Transportation under Gerald Ford—Philadelphia
"Tom Corbett, 46th Governor of Pennsylvania—Philadelphia
"George M. Dallas, 11th Vice President of the United States—Philadelphia
"James J. Davis, U.S. Secretary of Labor, U.S. Senator—Pittsburgh
"James H. Duff, U.S. Senator and 34th Governor—Carnegie
"R. Budd Dwyer, treasurer, State Senator and Representative—Harrisburg
"George Howard Earle III, 30th Governor of Pennsylvania—Montgomery County
"Peter Feaver, National Security Council member for Clinton and Bush administrations—Bethlehem
"Bob Filner, Mayor of San Diego—Pittsburgh
"John Stuchell Fisher, 29th Governor of Pennsylvania—South Mahoning Twp.
"Benjamin Franklin, scientist, diplomat, teacher, and founding father of the United States—Philadelphia
"Frank Gaffney, Deputy Assistant Secretary of Defense under Ronald Reagan—Pittsburgh
"Newt Gingrich, Speaker of the U.S. House of Representatives—Harrisburg
"Alexander Haig, Secretary of State, White House Chief of Staff, NATO Supreme Commander—Philadelphia
"Winfield Scott Hancock, Union Civil War commander—Montgomeryville
"Orrin Hatch, Republican senator from Utah—Pittsburgh
"Michael Hayden, Director of CIA under George W. Bush—Pittsburgh
"William G. Hundley, criminal defense attorney—Pittsburgh
"Harold L. Ickes, Secretary of Interior under Franklin D. Roosevelt—Altoona
"Arthur James, 31st Governor of Pennsylvania—Plymouth
"Michael Johns, U.S. Presidential speechwriter—Emmaus
"George Joulwan, U.S. Army General—Pottsville
"John Kasich, Congressman from Ohio (1983–2001), 69th Governor of Ohio, presidential candidate in 2016 and 2000—Pittsburgh
"Donald Kohn, Vice Chairman of Federal Reserve—Philadelphia
"Alf Landon, Governor of Kansas and presidential candidate—West Middlesex
"Andrew Lewis, Secretary of Transportation under Ronald Reagan—Philadelphia
"Richard Marcinko, Navy Seal, commanded Seal Team Six—Lansford
"George Marshall, Secretary of Defense under Harry S. Truman—Uniontown
"Edward Martin, U.S. Senator and 32nd Governor of Pennsylvania—Ten Mile
"Betsy McCaughey, Lieutenant Governor of state of New York—Pittsburgh
"John J. McCloy, Assistant Secretary of War during World War II—Philadelphia
"H. R. McMaster, National Security Advisor, U.S. Army Lt. General—Philadelphia
"Royal Meeker, advisor to President Woodrow Wilson—Quaker Lake
"Thomas Mifflin, first Governor of Pennsylvania—Philadelphia
"Janet Napolitano, U.S. Secretary of Homeland Security—Pittsburgh
"Benjamin Netanyahu, Prime Minister of Israel—Cheltenham Township
"John Olver, U.S. Representative from Massachusetts—Honesdale
"Alexander Mitchell Palmer, U.S. Attorney General, director of controversial Palmer Raids—White Haven
"Rand Paul, U.S. Senator (R-KY)—Pittsburgh
"Ron Paul, U.S. House of Representatives (R-TX)—Pittsburgh
"Samuel W. Pennypacker, 23rd Governor of Pennsylvania—Phoenixville
"Robert Reich, Secretary of Labor under Bill Clinton—Scranton
"Ed Rendell, 45th Governor of Pennsylvania—Philadelphia
"George S. Rentz, World War II Navy Chaplain and Navy Cross awardee—Lebanon
"Tom Ridge, Governor, first Secretary of Homeland Security—Munhall
"Alice Rivlin, Director of the Office of Management and Budget under Bill Clinton, Vice Chair of the Federal Reserve System—Philadelphia
"John Roll, federal judge slain in 2011 Tucson shooting in Arizona—Pittsburgh
"Dan Rooney, U.S. Ambassador to Ireland—Pittsburgh
"Betsy Ross, credited maker of original American flag—Philadelphia
"Richard Schweiker, Congressman, Senator, and Secretary of Health and Human Services under Ronald Reagan—Norristown
"Joe Sestak, Navy Admiral and Congressman—Secane
"Raymond P. Shafer, Governor of Pennsylvania—New Castle
"Jeanne Shaheen, U.S. Senator and Governor of New Hampshire—Selinsgrove
"Don Sherwood, U.S. Representative (R-PA)—Tunkhannock
"D. Brooks Smith, federal judge on Court of Appeals—Altoona
"Carl Andrew Spaatz, WWII general and first Chief of Staff of the U.S. Air Force—Boyertown
"Arlen Specter, U.S. Senator (R-PA)—Philadelphia
"William Cameron Sproul, 27th Governor of Pennsylvania—Lancaster County
"Thaddeus Stevens, Constitutional activist—Gettysburg
"William A. Stone, 22nd Governor of Pennsylvania—Wellsboro
"Edwin Sydney Stuart, 24th Governor of Pennsylvania—Philadelphia
"Lawrence Summers, Director of National Economic Council under Barack Obama—Penn Valley
"Charlemagne Tower, lawyer, mining magnate and landowner—Pottsville
"Tom Vilsack, U.S. Secretary of Agriculture, Governor of Iowa—Pittsburgh
"Curtin Winsor, Jr., U.S. Ambassador to Costa Rica under Ronald Reagan—Philadelphia
"Richard Winters, 101st Airborne, 506th E Company, World War II—Lancaster
"Rick Amato, radio talk show host, conservative commentator, columnist—Pittsburgh
"Jodi Applegate, broadcast journalist—Moon Township
"Michael Barkann, radio talk show host, television host—Newtown Square
"Chuck Barris, television host and producer—Philadelphia
"John Batchelor, radio talk show host—Bryn Mawr / Lower Merion Township
"Ron Bennington, radio personality and comedian, The Ron and Fez Show—Philadelphia
"Jerry Blavat, disc jockey—Philadelphia
"Neal Boortz, libertarian radio talk show host—Bryn Mawr
"Michael Buffer, ring announcer known for his trademarked catchphrase, "Let's get ready to rumble!"—Philadelphia / Roslyn
"Steve Burns, original host of the kids' show Blue's Clues—Boyertown
"Steve Capus, former president of NBC News—Bryn Mawr
"Todd Christensen, sports broadcaster for the MountainWest Sports Network—Bellefonte
"Myron Cope, former Pittsburgh Steelers radio personality—Pittsburgh
"Regis Cordic, former radio personality; actor in Columbo, Gunsmoke—Pittsburgh
"Jim Cramer, television personality—Wyndmoor
"Bill Cullen, television personality—Pittsburgh
"Sharon Epperson, correspondent for CNBC—Pittsburgh
"Howard Eskin, Philadelphia-based sports radio personality—Philadelphia
"Debra Fox, television anchor—Pittsburgh
"Pauline Frederick, newspaper, TV, and radio journalist—Gallitzin
"Alan Freed, radio disc jockey who coined the term "Rock and Roll"—Windber
"Courtney Friel, entertainment reporter for Fox News—Norristown
"Louis Glackens, illustrator—Philadelphia
"Jon &amp; Kate Gosselin, reality TV personalities (Jon &amp; Kate Plus 8), family of 10 with sextuplets and twins—Wyomissing
"Andy Gresh, talk show host, television host, color commentator—Brownsville
"Marc Lamont Hill, BET News correspondent, CNN political commentator—Philadelphia
"Marilyn Horne, opera singer—Bradford
"Abby Huntsman, co-host of Fox &amp; Friends Weekend—Philadelphia
"Suzy Kolber, television sportscaster—Upper Dublin Township
"Andrea Kremer, television sportscaster—Philadelphia
"Carson Kressley, TV personality, Queer Eye, How to Look Good Naked—Allentown
"Mark Levin, radio talk show host, conservative political commentator—Cheltenham Township
"Chloe Lukasiak, actor, featured dancer on Dance Moms—Churchill (Pittsburgh / Mars)
"Joe Lunardi, college basketball analyst for ESPN—Philadelphia
"Meredith Marakovits, New York Yankees clubhouse reporter for the YES Network—Walnutport
"Bam Margera, reality television personality and skateboarder—West Chester
"Chris Matthews, political commentator, MSNBC's Hardball—Philadelphia
"Billy Mays, TV direct-response advertising salesman and star of Discovery Channel's Pitchmen—McKees Rocks
"Michael Medved, talk radio host, conservative commentator, film critic—Philadelphia
"Abby Lee Miller, star of Pittsburgh-based Dance Moms and owner of Abby Lee Dance Company—Penn Hills&#91;A&#93;
"Jeanne Moos, broadcast journalist for CNN—Pittsburgh
"Clayton Morris, co-host of Fox &amp; Friends Weekend—Spring Township
"Charlie O'Donnell, radio/TV announcer, primarily on game shows—Philadelphia
"Beth Ostrosky, model, judge on ABC's True Beauty and host of G4's Filter—Pittsburgh
"Jack Posobiec, correspondent for  One America News Network—Norristown
"Fred Rogers, television personality, Mr. Rogers' Neighborhood—Latrobe
"Norman Rose, radio announcer (NBC's Dimension X and CBS Radio Mystery Theater)—Philadelphia
"Ryan Sampson, radio personality, The Morning Mash Up Sirius XM Hits 1—Titusville
"Ray Scott, sportscaster for the Green Bay Packers—Johnstown
"Steve Scully, host of C-SPAN's Washington Journal—Erie
"Paul Shannon, host of Adventuretime, WTAE Channel 4—Crafton
"Dick Stockton, sportscaster for Fox Sports and Turner Sports—Philadelphia
"Andrea Tantaros, political analyst and commentator on Fox News and Fox Business Network—Allentown
"Jake Tapper, anchor for CNN, The Lead with Jake Tapper, State of the Union—Philadelphia
"Jesse Watters, commentator for Fox News, host of Watters' World—Philadelphia
"Kristen Welker, broadcast journalist for NBC News—Philadelphia
"Maddie Ziegler, actor, featured dancer on Dance Moms—Murrysville
"Tony Campolo—Philadelphia
"Walter Ciszek—Shenandoah
"Harvey Cox—Malvern
"Prince Demetrius Gallitzin—Cambria County
"Washington Gladden—Pottsgrove
"Barry Lynn—Harrisburg / Bethlehem
"David Miscavige—Bucks County
"Joseph Murgas—Wilkes Barre / Slovakia
"Michael Novak—Johnstown
"Charles Taze Russell—Pittsburgh
"Rev. Jeremiah Wright—Philadelphia
"Russell L. Ackoff—Philadelphia
"Clayton Alderfer—Sellersville
"Gary Becker—Pottsville
"Julian Bond—Philadelphia
"Edwin Boring—Philadelphia
"Leonard Burman—Philadelphia
"Paul Cameron—Pittsburgh
"Henry Charles Carey—Philadelphia
"Leonard Carmichael—Philadelphia
"James McKeen Cattell—Easton
"Noam Chomsky—Philadelphia
